number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
60,1.2840173482894897,2025-10-13 19:49:40.233450,2025-10-13 19:50:05.219591,0 days 00:00:24.986141,gelu,64,0.1,6,huber,0.0009271652415398658,0.2988782653204394,0.00038106011542839174,1024,,COMPLETE
61,1.344076430797577,2025-10-13 19:50:05.324825,2025-10-13 19:50:24.297888,0 days 00:00:18.973063,gelu,64,0.1,6,huber,0.0009088929191776876,0.30107104046619837,0.00030240138975273594,1024,,COMPLETE
62,1.282986330986023,2025-10-13 19:50:24.403310,2025-10-13 19:50:50.107659,0 days 00:00:25.704349,gelu,64,0.1,6,huber,0.0009457863041339426,0.32768479763651676,0.0005592502539113848,1024,,COMPLETE
63,1.3312236785888671,2025-10-13 19:50:50.206403,2025-10-13 19:51:07.927391,0 days 00:00:17.720988,gelu,64,0.1,6,huber,0.0008565569457338895,0.33085970843314944,0.0005539732353361419,1024,,COMPLETE
64,1.2715704798698426,2025-10-13 19:51:08.037093,2025-10-13 19:51:35.407549,0 days 00:00:27.370456,gelu,64,0.1,6,huber,0.001012143241123664,0.36273371985021474,0.0007637817452345721,1024,,COMPLETE
65,1.3194809198379516,2025-10-13 19:51:35.504570,2025-10-13 19:51:48.094422,0 days 00:00:12.589852,gelu,64,0.0,6,huber,0.0009956263888094,0.364854558810655,0.0008570727419373352,1024,,COMPLETE
66,1.2994438529014587,2025-10-13 19:51:48.191030,2025-10-13 19:52:03.090350,0 days 00:00:14.899320,gelu,64,0.0,6,huber,0.000772537611554606,0.3540889604002617,0.00011536997648136987,1024,,COMPLETE
67,1.4240949869155883,2025-10-13 19:52:03.185647,2025-10-13 19:52:22.730271,0 days 00:00:19.544624,gelu,64,0.3,2,mae,0.0012028011933430628,0.3765644172753106,0.0001823098287067558,256,,COMPLETE
68,1.319787061214447,2025-10-13 19:52:22.830123,2025-10-13 19:53:09.410780,0 days 00:00:46.580657,gelu,32,0.1,6,huber,0.0007906276742943001,0.38657478092720227,0.0007598176238740276,1024,,COMPLETE
69,1.2683041453361512,2025-10-13 19:53:09.508859,2025-10-13 19:53:35.512988,0 days 00:00:26.004129,gelu,64,0.0,5,huber,0.0008440388089882962,0.39977829081407873,7.123627891440617e-05,128,,COMPLETE
70,1.272464644908905,2025-10-13 19:53:35.615375,2025-10-13 19:53:59.222559,0 days 00:00:23.607184,gelu,64,0.0,5,huber,0.0007426313080978483,0.39730006905887727,3.492687475255429e-05,128,,COMPLETE
71,1.2689675688743591,2025-10-13 19:53:59.322479,2025-10-13 19:54:23.212269,0 days 00:00:23.889790,gelu,64,0.0,5,huber,0.000837014676941518,0.3969243857632602,3.3305516700754794e-05,128,,COMPLETE
72,1.2675432085990905,2025-10-13 19:54:23.312553,2025-10-13 19:54:47.410357,0 days 00:00:24.097804,gelu,64,0.0,5,huber,0.0008548433547803349,0.39214104178777953,2.90490684433797e-05,128,,COMPLETE
73,1.2887278079986573,2025-10-13 19:54:47.511739,2025-10-13 19:55:08.910400,0 days 00:00:21.398661,gelu,64,0.0,4,huber,0.0008615148865675505,0.3918555956853192,2.8178562244122692e-05,128,,COMPLETE
74,1.2787122845649719,2025-10-13 19:55:09.010621,2025-10-13 19:55:33.766561,0 days 00:00:24.755940,gelu,64,0.0,5,huber,0.000845435958348287,0.3785973270287303,4.406495443397229e-05,128,,COMPLETE
75,1.2617350459098815,2025-10-13 19:55:33.876803,2025-10-13 19:55:56.833718,0 days 00:00:22.956915,gelu,64,0.0,5,huber,0.0009865902148974233,0.3682012298881774,1.845987259903524e-05,128,,COMPLETE
76,1.2545042872428893,2025-10-13 19:55:56.943164,2025-10-13 19:56:22.022862,0 days 00:00:25.079698,gelu,64,0.0,5,huber,0.0009626274346116417,0.3718916053962913,1.8097954973114434e-05,128,,COMPLETE
77,1.37906174659729,2025-10-13 19:56:22.122939,2025-10-13 19:57:25.287107,0 days 00:01:03.164168,gelu,16,0.0,5,huber,0.0009776713405944624,0.37277253186210896,1.2603743075308768e-05,128,,COMPLETE
78,1.2624922156333924,2025-10-13 19:57:25.389897,2025-10-13 19:57:51.743740,0 days 00:00:26.353843,gelu,64,0.0,5,huber,0.0010606503347751137,0.3822261037610465,7.506453479708844e-06,128,,COMPLETE
79,1.4395695924758911,2025-10-13 19:57:51.846339,2025-10-13 19:58:22.534639,0 days 00:00:30.688300,gelu,64,0.2,5,huber,0.0010596145387767838,0.3543477106438693,7.001963254766392e-06,128,,COMPLETE
80,1.2860172152519227,2025-10-13 19:58:22.635091,2025-10-13 19:58:43.103706,0 days 00:00:20.468615,gelu,64,0.0,5,huber,0.0011121390631557081,0.3887316885133145,1.9233677724803273e-05,128,,COMPLETE
81,1.2752374529838562,2025-10-13 19:58:43.205010,2025-10-13 19:59:07.619274,0 days 00:00:24.414264,gelu,64,0.0,5,huber,0.0008917401667907866,0.399142385142748,7.5239323504067206e-06,128,,COMPLETE
82,1.2599524855613708,2025-10-13 19:59:07.718040,2025-10-13 19:59:31.869952,0 days 00:00:24.151912,gelu,64,0.0,5,huber,0.000800800624602113,0.38152922791532035,2.214287738669169e-05,128,,COMPLETE
83,1.2815543055534362,2025-10-13 19:59:31.968749,2025-10-13 19:59:56.549419,0 days 00:00:24.580670,gelu,64,0.0,5,huber,0.0007974805150991878,0.38258425933007345,1.94198876429318e-05,128,,COMPLETE
84,1.2769709706306458,2025-10-13 19:59:56.648945,2025-10-13 20:00:23.827971,0 days 00:00:27.179026,gelu,64,0.0,5,huber,0.0007612670614793983,0.3681072973274412,1.2255752372743554e-05,128,,COMPLETE
85,1.244847023487091,2025-10-13 20:00:23.927850,2025-10-13 20:00:50.487719,0 days 00:00:26.559869,gelu,64,0.0,5,huber,0.0008828129550878996,0.38300330170586794,9.575406144782706e-06,128,,COMPLETE
86,1.286454153060913,2025-10-13 20:00:50.586232,2025-10-13 20:01:11.228172,0 days 00:00:20.641940,gelu,64,0.0,5,huber,0.0009486530383128913,0.38331400833776086,6.072706813394481e-06,128,,COMPLETE
87,1.276320505142212,2025-10-13 20:01:11.327409,2025-10-13 20:01:35.934619,0 days 00:00:24.607210,gelu,64,0.0,5,huber,0.0008801549299563785,0.37348392990300544,3.162129414661042e-06,128,,COMPLETE
88,1.3185170531272887,2025-10-13 20:01:36.033478,2025-10-13 20:02:11.465420,0 days 00:00:35.431942,gelu,32,0.0,5,huber,0.0010348186631149174,0.3932782876170795,9.525899649273385e-06,128,,COMPLETE
89,1.2762633085250854,2025-10-13 20:02:11.559771,2025-10-13 20:02:33.475239,0 days 00:00:21.915468,gelu,64,0.0,5,huber,0.0009694099406678712,0.359267419502493,1.5471922258925446e-05,128,,COMPLETE
