number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout,params_layers,params_loss,params_max_lr,params_pct_start,params_weight_decay,params_width,user_attrs_constraint_adjusted_dropout,state
76,0.9951497912406921,2025-10-19 20:59:20.879793,2025-10-19 21:00:26.622216,0 days 00:01:05.742423,gelu,64,0.0,6,huber,0.0006359500645047415,0.23202750115782425,0.00047497919921408023,512,,COMPLETE
77,1.0406350433826446,2025-10-19 21:00:26.704542,2025-10-19 21:02:15.036648,0 days 00:01:48.332106,gelu,32,0.0,6,mae,0.0006372886928066495,0.23274146778226493,0.0009647957211564845,1024,,COMPLETE
78,1.0565137028694154,2025-10-19 21:02:15.119069,2025-10-19 21:08:40.738793,0 days 00:06:25.619724,relu,16,0.0,6,huber,0.0005892496499305138,0.3689206103565671,0.0005101614922189883,256,True,COMPLETE
79,1.0164484322071075,2025-10-19 21:08:40.820458,2025-10-19 21:09:29.651326,0 days 00:00:48.830868,gelu,64,0.0,6,huber,0.000677254935927711,0.2273278129874966,0.00024224221465538327,1024,,COMPLETE
80,1.005629163980484,2025-10-19 21:09:29.738283,2025-10-19 21:10:28.907136,0 days 00:00:59.168853,gelu,64,0.0,6,huber,0.000511709630916383,0.20354876586987386,0.0007765898192887497,512,,COMPLETE
81,0.9948486983776093,2025-10-19 21:10:28.989684,2025-10-19 21:11:40.196879,0 days 00:01:11.207195,gelu,64,0.0,6,huber,0.0005170861837255684,0.20198688858182218,0.0006988792678966862,512,,COMPLETE
82,1.0024001836776733,2025-10-19 21:11:40.278555,2025-10-19 21:12:50.488772,0 days 00:01:10.210217,gelu,64,0.0,6,huber,0.000539037049255651,0.21552079745645378,0.0005921651470947351,512,,COMPLETE
83,0.9974301338195801,2025-10-19 21:12:50.574266,2025-10-19 21:13:49.549898,0 days 00:00:58.975632,gelu,64,0.0,6,huber,0.0005460149705445092,0.2114022748002147,0.0006055233021942486,512,,COMPLETE
84,1.0023044168949127,2025-10-19 21:13:49.637109,2025-10-19 21:14:56.042722,0 days 00:01:06.405613,gelu,64,0.0,6,huber,0.0005278531532544323,0.2117370788081524,0.0004441631448825044,512,,COMPLETE
85,0.9934774518013001,2025-10-19 21:14:56.125202,2025-10-19 21:16:00.998212,0 days 00:01:04.873010,gelu,64,0.0,6,huber,0.0005292397848756437,0.20874267990879702,0.0007620268928632874,512,,COMPLETE
86,1.0146178305149078,2025-10-19 21:16:01.079850,2025-10-19 21:17:02.762819,0 days 00:01:01.682969,gelu,64,0.0,6,mse,0.0005006143841956929,0.2024126166367763,0.00031573420562533904,512,,COMPLETE
87,0.9942323923110962,2025-10-19 21:17:02.849527,2025-10-19 21:18:15.085688,0 days 00:01:12.236161,gelu,64,0.0,6,huber,0.0005688757218157011,0.20798321855841176,0.0007804760916172141,512,,COMPLETE
88,1.0072141110897064,2025-10-19 21:18:15.172383,2025-10-19 21:19:14.309286,0 days 00:00:59.136903,gelu,64,0.0,6,huber,0.0005827886633437766,0.20940776845303666,0.0007531929528455074,512,,COMPLETE
89,0.985190623998642,2025-10-19 21:19:14.391106,2025-10-19 21:20:30.064787,0 days 00:01:15.673681,gelu,64,0.0,6,huber,0.0005550192008241955,0.20106538284186373,0.0009661321400272567,512,,COMPLETE
90,0.9952776789665222,2025-10-19 21:20:30.146573,2025-10-19 21:21:31.741365,0 days 00:01:01.594792,gelu,64,0.0,6,huber,0.0005526953531971103,0.22877075464844362,0.0009643515603979591,512,,COMPLETE
91,0.9944188058376312,2025-10-19 21:21:31.828215,2025-10-19 21:22:40.496350,0 days 00:01:08.668135,gelu,64,0.0,6,huber,0.0005531500837596631,0.22880777808300756,0.0009606716326193635,512,,COMPLETE
92,0.9961687088012695,2025-10-19 21:22:40.578678,2025-10-19 21:23:51.079146,0 days 00:01:10.500468,gelu,64,0.0,6,huber,0.0005550983717508264,0.23112346058544958,0.0008406624403977793,512,,COMPLETE
93,0.9870084762573242,2025-10-19 21:23:51.161412,2025-10-19 21:25:06.100759,0 days 00:01:14.939347,gelu,64,0.0,6,huber,0.000553818903533749,0.22923320761560434,0.0009488708046810003,512,,COMPLETE
94,1.0103733003139497,2025-10-19 21:25:06.183274,2025-10-19 21:26:01.381134,0 days 00:00:55.197860,gelu,64,0.0,6,huber,0.0005598811535782031,0.24147949221219137,0.0009581861953034627,512,,COMPLETE
95,1.0019259333610535,2025-10-19 21:26:01.462799,2025-10-19 21:26:58.987576,0 days 00:00:57.524777,gelu,64,0.0,6,huber,0.0005779269644433763,0.23081099641162908,0.0007670100220324173,512,,COMPLETE
96,0.9883254706859589,2025-10-19 21:26:59.071326,2025-10-19 21:28:08.563688,0 days 00:01:09.492362,gelu,64,0.0,6,huber,0.0005208571037128455,0.25296473529572716,0.0008351925241437643,512,,COMPLETE
97,1.0177328288555145,2025-10-19 21:28:08.651363,2025-10-19 21:30:37.916569,0 days 00:02:29.265206,relu,32,0.0,6,mae,0.00052585366228726,0.2530622180328941,0.0004993785775948333,512,,COMPLETE
98,1.0154986023902892,2025-10-19 21:30:37.999074,2025-10-19 21:31:33.582666,0 days 00:00:55.583592,gelu,64,0.0,6,huber,0.0006034458540729838,0.22399315328043123,0.0009721840764680002,512,,COMPLETE
99,1.0399859249591827,2025-10-19 21:31:33.669670,2025-10-19 21:35:20.859485,0 days 00:03:47.189815,gelu,16,0.0,6,huber,0.0005126333922535027,0.2389933926023442,0.0007030082851247113,512,,COMPLETE
100,1.0243660390377045,2025-10-19 21:35:20.941426,2025-10-19 21:36:23.366599,0 days 00:01:02.425173,gelu,64,0.0,2,huber,0.0005732985066439499,0.21623433608292109,0.0008547689941565334,512,,COMPLETE
101,0.9865916132926941,2025-10-19 21:36:23.454200,2025-10-19 21:37:35.833729,0 days 00:01:12.379529,gelu,64,0.0,6,huber,0.0005426629893503002,0.20010241775986082,0.0007763649464131399,512,,COMPLETE
102,1.0048055052757263,2025-10-19 21:37:35.920633,2025-10-19 21:38:32.320583,0 days 00:00:56.399950,gelu,64,0.0,6,huber,0.0005423698905262745,0.2011749688848177,0.0006683311903136263,512,,COMPLETE
103,0.9804335832595825,2025-10-19 21:38:32.407615,2025-10-19 21:39:49.229274,0 days 00:01:16.821659,gelu,64,0.0,6,huber,0.000604710822107658,0.2074163638382348,0.0005350382846366924,512,,COMPLETE
104,0.9900578916072845,2025-10-19 21:39:49.316440,2025-10-19 21:41:00.746321,0 days 00:01:11.429881,gelu,64,0.0,6,huber,0.0006095994029026225,0.20610123187106197,0.0005414483072037802,512,,COMPLETE
105,1.0062420189380645,2025-10-19 21:41:00.830083,2025-10-19 21:41:54.993273,0 days 00:00:54.163190,gelu,64,0.0,6,huber,0.000616367984816781,0.20677979390603368,0.00047721421761567423,512,,COMPLETE
106,0.9966543614864349,2025-10-19 21:41:55.081029,2025-10-19 21:43:05.431078,0 days 00:01:10.350049,gelu,64,0.0,6,huber,0.0005286059450076322,0.21660575063106804,0.0005528747625971351,512,,COMPLETE
107,0.9850315392017365,2025-10-19 21:43:05.518985,2025-10-19 21:44:22.750560,0 days 00:01:17.231575,gelu,64,0.0,6,huber,0.0006368275229422999,0.20695320411290943,0.0007327784399113238,512,,COMPLETE
108,1.0213034093379973,2025-10-19 21:44:22.835482,2025-10-19 21:45:16.044497,0 days 00:00:53.209015,gelu,64,0.0,6,mse,0.0005990003363630288,0.20665042152536464,0.0007223792789055146,512,,COMPLETE
109,1.0224680995941162,2025-10-19 21:45:16.127395,2025-10-19 21:46:05.304068,0 days 00:00:49.176673,gelu,64,0.0,3,huber,0.000503011223859058,0.20131425269715625,0.0003260733950638597,512,,COMPLETE
110,1.0244506895542145,2025-10-19 21:46:05.386632,2025-10-19 21:47:27.481399,0 days 00:01:22.094767,gelu,64,0.0,6,huber,0.000572712544927694,0.22305077783071775,0.000849926026692149,128,,COMPLETE
111,0.987122917175293,2025-10-19 21:47:27.566227,2025-10-19 21:48:32.519933,0 days 00:01:04.953706,gelu,64,0.0,6,huber,0.0006357796988078875,0.20777338235555926,0.00040456688761823627,512,,COMPLETE
112,0.9875914990901947,2025-10-19 21:48:32.607421,2025-10-19 21:49:39.070408,0 days 00:01:06.462987,gelu,64,0.0,6,huber,0.0005338469359945531,0.2072048089091801,0.00041602524998359094,512,,COMPLETE
113,0.9870525598526001,2025-10-19 21:49:39.153098,2025-10-19 21:50:45.925765,0 days 00:01:06.772667,gelu,64,0.0,6,huber,0.000655257740100267,0.20760347562042342,0.0005663199432718978,512,,COMPLETE
114,0.9896657109260559,2025-10-19 21:50:46.007657,2025-10-19 21:51:52.886320,0 days 00:01:06.878663,gelu,64,0.0,6,huber,0.0006504541023668953,0.20885104989900208,0.00041209254971799185,512,,COMPLETE
115,1.0694610238075257,2025-10-19 21:51:52.968507,2025-10-19 21:53:29.639709,0 days 00:01:36.671202,gelu,64,0.3,6,huber,0.0006501594524213895,0.21435596841229562,0.0004038417191840839,512,,COMPLETE
116,0.9879238247871399,2025-10-19 21:53:29.722793,2025-10-19 21:54:33.715968,0 days 00:01:03.993175,relu,64,0.0,5,huber,0.000657449014983078,0.20574569385362856,0.0005766025464281556,512,,COMPLETE
117,1.0216927230358124,2025-10-19 21:54:33.797810,2025-10-19 21:56:01.581939,0 days 00:01:27.784129,relu,64,0.2,5,huber,0.000657963894197812,0.2213070784413304,0.0005520008694048151,512,,COMPLETE
118,1.0068850219249725,2025-10-19 21:56:01.664970,2025-10-19 21:58:23.169618,0 days 00:02:21.504648,relu,32,0.0,5,mae,0.0006203459162200343,0.20017741424037025,0.00024883311211682733,512,,COMPLETE
119,0.9887842118740082,2025-10-19 21:58:23.252626,2025-10-19 21:59:27.640116,0 days 00:01:04.387490,relu,64,0.0,5,huber,0.0005998364879744287,0.21378477327496626,0.0004276870775547834,512,,COMPLETE
120,1.0180199325084687,2025-10-19 21:59:27.727467,2025-10-19 22:00:57.408693,0 days 00:01:29.681226,relu,64,0.0,5,huber,0.0006367220882730136,0.21337891075750978,0.00035178383099330226,256,True,COMPLETE
121,0.9712734878063202,2025-10-19 22:00:57.496171,2025-10-19 22:02:07.199189,0 days 00:01:09.703018,relu,64,0.0,5,huber,0.0005990396475686389,0.2056779407662514,0.0004240137180807463,512,,COMPLETE
122,0.9949448764324188,2025-10-19 22:02:07.286024,2025-10-19 22:03:05.735390,0 days 00:00:58.449366,relu,64,0.0,5,huber,0.0005950922705640568,0.21641742687470444,0.00028246473207134816,512,,COMPLETE
